"Country or Area","Year","Commodity","Flow","Trade (USD)","Weight (kg)","Quantity Name","Quantity"
"Iceland","2022","Coffee; not roasted or decaffeinated","Export","13423.544","631.581","Weight in kilograms","631.581"
"Iceland","2022","Coffee; not roasted or decaffeinated","Import","5266605.795","846294.088","Weight in kilograms","846294.088"
"Iceland","2022","Coffee; decaffeinated, not roasted","Export","349.586","10","Weight in kilograms","10"
"Iceland","2022","Coffee; decaffeinated, not roasted","Import","435093.046","72193.058","Weight in kilograms","72193.058"
"Iceland","2022","Coffee; roasted, not decaffeinated","Export","114500.266","9522.863","Weight in kilograms","9522.863"
"Iceland","2022","Coffee; roasted, not decaffeinated","Import","19726879.422","1414979.991","Weight in kilograms","1414979.991"
"Iceland","2022","Coffee; roasted, decaffeinated","Import","525984.125","11240.418","Weight in kilograms","11240.418"
"Iceland","2022","Coffee; husks and skins, coffee substitutes containing coffee in any proportion","Export","365.457","11.996","Weight in kilograms","11.996"
"Iceland","2022","Coffee; husks and skins, coffee substitutes containing coffee in any proportion","Import","77837.508","4742.106","Weight in kilograms","4742.106"
"Iceland","2022","Tea, green; (not fermented), in immediate packings of a content not exceeding 3kg","Import","337579.107","12643.485","Weight in kilograms","12643.485"
"Iceland","2022","Tea, green; (not fermented), in immediate packings of a content not exceeding 3kg","Export","3287.339","126.798","Weight in kilograms","126.798"
"Iceland","2022","Tea, green; (not fermented), in immediate packings of a content exceeding 3kg","Export","700.178","19","Weight in kilograms","19"
"Iceland","2022","Tea, green; (not fermented), in immediate packings of a content exceeding 3kg","Import","45166.548","4529.474","Weight in kilograms","4529.474"
"Iceland","2022","Tea, black; (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3kg","Import","1122341.362","56616.682","Weight in kilograms","56616.682"
"Iceland","2022","Tea, black; (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3kg","Export","86.983","7.148","Weight in kilograms","7.148"
"Iceland","2022","Tea, black; (fermented) and partly fermented tea, in immediate packings of a content exceeding 3kg","Export","234.617","49.659","Weight in kilograms","49.659"
"Iceland","2022","Tea, black; (fermented) and partly fermented tea, in immediate packings of a content exceeding 3kg","Import","172404.521","7957.982","Weight in kilograms","7957.982"
"Iceland","2022","Mate","Import","10236.774","1880","Weight in kilograms","1880"
"Iceland","2022","Spices; pepper (of the genus piper), neither crushed nor ground","Import","404951.529","24165.294","Weight in kilograms","24165.294"
"Iceland","2022","Spices; pepper (of the genus piper), crushed or ground","Export","26.663","1","Weight in kilograms","1"
"Iceland","2022","Spices; pepper (of the genus piper), crushed or ground","Import","391614.805","39211.755","Weight in kilograms","39211.755"
"Iceland","2022","Spices; fruits of the genus Capsicum or Pimenta, dried, neither crushed nor ground","Export","388.661","95","Weight in kilograms","95"
"Iceland","2022","Spices; fruits of the genus Capsicum or Pimenta, dried, neither crushed nor ground","Import","68550.787","8457.561","Weight in kilograms","8457.561"
"Iceland","2022","Spices; fruits of the genus Capsicum or Pimenta, crushed or ground","Import","197948.844","20823.308","Weight in kilograms","20823.308"
"Iceland","2022","Spices; vanilla, neither crushed nor ground","Import","73318.856","678.83","Weight in kilograms","678.83"
"Iceland","2022","Spices; vanilla, crushed or ground","Export","20.971","4","Weight in kilograms","4"
"Iceland","2022","Spices; vanilla, crushed or ground","Import","29834.908","1319","Weight in kilograms","1319"
"Iceland","2022","Spices; cinnamon (Cinnamomum zeylanicum Blume), neither crushed nor ground","Import","48309.49","4922","Weight in kilograms","4922"
"Iceland","2022","Spices; cinnamon and cinnamon-tree flowers, other than cinnamon (Cinnamomum zeylanicum Blume), neither crushed nor ground","Import","5739.374","851","Weight in kilograms","851"
"Iceland","2022","Spices; cinnamon and cinnamon-tree flowers, crushed or ground","Export","1167.35","599","Weight in kilograms","599"
"Iceland","2022","Spices; cinnamon and cinnamon-tree flowers, crushed or ground","Import","144548.31","13663","Weight in kilograms","13663"
"Iceland","2022","Spices; cloves (whole fruit, cloves and stems), neither crushed nor ground","Import","18153.337","1596.406","Weight in kilograms","1596.406"
"Iceland","2022","Spices; cloves (whole fruit, cloves and stems), crushed or ground","Import","21385.162","1339.898","Weight in kilograms","1339.898"
"Iceland","2022","Spices; nutmeg, neither crushed nor ground","Import","4477.494","1068","Weight in kilograms","1068"
"Iceland","2022","Spices; nutmeg, crushed or ground","Import","16450.801","1042","Weight in kilograms","1042"
"Iceland","2022","Spices; mace, neither crushed nor ground","Import","317.335","4","Weight in kilograms","4"
"Iceland","2022","Spices; mace, crushed or ground","Import","3808.488","370.498","Weight in kilograms","370.498"
"Iceland","2022","Spices; cardamoms, neither crushed nor ground","Import","20107.056","1261","Weight in kilograms","1261"
"Iceland","2022","Spices; cardamoms, crushed or ground","Import","18088.656","2061.633","Weight in kilograms","2061.633"
"Iceland","2022","Spices; coriander seeds, neither crushed nor ground","Import","20799.753","2932","Weight in kilograms","2932"
"Iceland","2022","Spices; coriander seeds, crushed or ground","Import","14985.165","1899","Weight in kilograms","1899"
"Iceland","2022","Spices; cumin seeds, neither crushed nor ground","Import","4932.698","747.637","Weight in kilograms","747.637"
"Iceland","2022","Spices; cumin seeds, crushed or ground","Import","14206.705","1786","Weight in kilograms","1786"
"Iceland","2022","Spices; seeds of anise, badian, caraway or fennel; juniper berries, neither crushed nor ground","Import","77859.611","9974.28","Weight in kilograms","9974.28"
"Iceland","2022","Spices; seeds of anise, badian, caraway or fennel; juniper berries, crushed or ground","Import","29864.735","3509","Weight in kilograms","3509"
"Iceland","2022","Spices; seeds of anise, badian, caraway or fennel; juniper berries, crushed or ground","Export","3667.669","3109","Weight in kilograms","3109"
"Iceland","2022","Spices; ginger, neither crushed nor ground","Import","335606.323","124768","Weight in kilograms","124768"
"Iceland","2022","Spices; ginger, crushed or ground","Import","56515.164","3534.931","Weight in kilograms","3534.931"
"Iceland","2022","Spices; saffron","Export","74.719","1.232","Weight in kilograms","1.232"
"Iceland","2022","Spices; saffron","Import","21239.006","1024.407","Weight in kilograms","1024.407"
"Iceland","2022","Spices; turmeric (curcuma)","Import","61467.23","6887.04","Weight in kilograms","6887.04"
"Iceland","2022","Spices; mixtures of 2 or more products of different headings","Export","2330.383","115.739","Weight in kilograms","115.739"
"Iceland","2022","Spices; mixtures of 2 or more products of different headings","Import","1115380.624","215769.567","Weight in kilograms","215769.567"
"Iceland","2022","Spices; n.e.c. in heading no. 0910","Export","21398.253","1334.747","Weight in kilograms","1334.747"
"Iceland","2022","Spices; n.e.c. in heading no. 0910","Import","1089520.024","106018.569","Weight in kilograms","106018.569"
"Iceland","2021","Coffee; not roasted or decaffeinated","Export","25912.441","7613.729","Weight in kilograms","7613.729"
"Iceland","2021","Coffee; not roasted or decaffeinated","Import","4161952.737","1210470.55","Weight in kilograms","1210470.55"
"Iceland","2021","Coffee; decaffeinated, not roasted","Export","28.546","6.552","Weight in kilograms","6.552"
"Iceland","2021","Coffee; decaffeinated, not roasted","Import","45543.091","10006.499","Weight in kilograms","10006.499"
"Iceland","2021","Coffee; roasted, not decaffeinated","Export","29964.486","3222.812","Weight in kilograms","3222.812"
"Iceland","2021","Coffee; roasted, not decaffeinated","Import","19133873.841","2209986.041","Weight in kilograms","2209986.041"
"Iceland","2021","Coffee; roasted, decaffeinated","Export","317.248","21.958","Weight in kilograms","21.958"
"Iceland","2021","Coffee; roasted, decaffeinated","Import","900783.011","65349.106","Weight in kilograms","65349.106"
"Iceland","2021","Coffee; husks and skins, coffee substitutes containing coffee in any proportion","Export","2059.447","","Weight in kilograms","317.963"
"Iceland","2021","Coffee; husks and skins, coffee substitutes containing coffee in any proportion","Import","41034.747","4850.098","Weight in kilograms","4850.098"
"Iceland","2021","Tea, green; (not fermented), in immediate packings of a content not exceeding 3kg","Export","5258.473","232.923","Weight in kilograms","232.923"
"Iceland","2021","Tea, green; (not fermented), in immediate packings of a content not exceeding 3kg","Import","366935.805","21408.238","Weight in kilograms","21408.238"
"Iceland","2021","Tea, green; (not fermented), in immediate packings of a content exceeding 3kg","Export","273.914","23.571","Weight in kilograms","23.571"
"Iceland","2021","Tea, green; (not fermented), in immediate packings of a content exceeding 3kg","Import","39518.686","","Weight in kilograms","6383.921"
"Iceland","2021","Tea, black; (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3kg","Export","16.419","1.303","Weight in kilograms","1.303"
"Iceland","2021","Tea, black; (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3kg","Import","842275.329","82482.714","Weight in kilograms","82482.714"
"Iceland","2021","Tea, black; (fermented) and partly fermented tea, in immediate packings of a content exceeding 3kg","Export","3870.486","1032.873","Weight in kilograms","1032.873"
"Iceland","2021","Tea, black; (fermented) and partly fermented tea, in immediate packings of a content exceeding 3kg","Import","218906.769","70186.8","Weight in kilograms","70186.8"
"Iceland","2021","Mate","Import","4590.737","1433.407","Weight in kilograms","1433.407"
"Iceland","2021","Spices; pepper (of the genus piper), neither crushed nor ground","Import","387472.346","81702.081","Weight in kilograms","81702.081"
"Iceland","2021","Spices; pepper (of the genus piper), crushed or ground","Export","64.439","10.232","Weight in kilograms","10.232"
"Iceland","2021","Spices; pepper (of the genus piper), crushed or ground","Import","416943.804","79507.547","Weight in kilograms","79507.547"
"Iceland","2021","Spices; fruits of the genus Capsicum or Pimenta, dried, neither crushed nor ground","Export","182.37","40.717","Weight in kilograms","40.717"
"Iceland","2021","Spices; fruits of the genus Capsicum or Pimenta, dried, neither crushed nor ground","Import","63072.394","13750.918","Weight in kilograms","13750.918"
"Iceland","2021","Spices; fruits of the genus Capsicum or Pimenta, crushed or ground","Import","217227.127","59250.584","Weight in kilograms","59250.584"
"Iceland","2021","Spices; vanilla, neither crushed nor ground","Import","118046.494","537.261","Weight in kilograms","537.261"
"Iceland","2021","Spices; vanilla, crushed or ground","Import","37526.867","254.466","Weight in kilograms","254.466"
"Iceland","2021","Spices; cinnamon (Cinnamomum zeylanicum Blume), neither crushed nor ground","Export","173.621","18.937","Weight in kilograms","18.937"
"Iceland","2021","Spices; cinnamon (Cinnamomum zeylanicum Blume), neither crushed nor ground","Import","79748.111","10776.865","Weight in kilograms","10776.865"
"Iceland","2021","Spices; cinnamon and cinnamon-tree flowers, other than cinnamon (Cinnamomum zeylanicum Blume), neither crushed nor ground","Import","8438.009","1523.729","Weight in kilograms","1523.729"
"Iceland","2021","Spices; cinnamon and cinnamon-tree flowers, crushed or ground","Export","1313.705","192.003","Weight in kilograms","192.003"
"Iceland","2021","Spices; cinnamon and cinnamon-tree flowers, crushed or ground","Import","126553.508","24055.353","Weight in kilograms","24055.353"
"Iceland","2021","Spices; cloves (whole fruit, cloves and stems), neither crushed nor ground","Import","7935.304","1262.867","Weight in kilograms","1262.867"
"Iceland","2021","Spices; cloves (whole fruit, cloves and stems), crushed or ground","Import","28725.299","3392.767","Weight in kilograms","3392.767"
"Iceland","2021","Spices; nutmeg, neither crushed nor ground","Import","5276.049","602.653","Weight in kilograms","602.653"
"Iceland","2021","Spices; nutmeg, crushed or ground","Import","12211.077","1390.309","Weight in kilograms","1390.309"
"Iceland","2021","Spices; mace, neither crushed nor ground","Import","6100.853","276.325","Weight in kilograms","276.325"
"Iceland","2021","Spices; mace, crushed or ground","Import","4660.956","200.898","Weight in kilograms","200.898"
"Iceland","2021","Spices; cardamoms, neither crushed nor ground","Import","38337.134","1677.735","Weight in kilograms","1677.735"
"Iceland","2021","Spices; cardamoms, crushed or ground","Import","24782.594","949.144","Weight in kilograms","949.144"
"Iceland","2021","Spices; coriander seeds, neither crushed nor ground","Export","16.009","12.99","Weight in kilograms","12.99"
"Iceland","2021","Spices; coriander seeds, neither crushed nor ground","Import","12932.58","9236.96","Weight in kilograms","9236.96"
"Iceland","2021","Spices; coriander seeds, crushed or ground","Import","18608.837","8925.073","Weight in kilograms","8925.073"
