"Country or Area","Year(s)","Value","Value Footnotes"
"Afghanistan","2012","29825",""
"Afghanistan","2011","29105",""
"Afghanistan","2010","28398",""
"Afghanistan","2009","27708",""
"Afghanistan","2008","27032",""
"Afghanistan","2007","26349",""
"Afghanistan","2006","25631",""
"Afghanistan","2005","24861",""
"Afghanistan","2004","24019",""
"Afghanistan","2003","23116",""
"Afghanistan","2002","22203",""
"Afghanistan","2001","21348",""
"Afghanistan","2000","20595",""
"Afghanistan","1999","19987",""
"Afghanistan","1998","19497",""
"Afghanistan","1997","19021",""
"Afghanistan","1996","18415",""
"Afghanistan","1995","17586",""
"Afghanistan","1994","16485",""
"Afghanistan","1993","15175",""
"Afghanistan","1992","13812",""
"Afghanistan","1991","12612",""
"Afghanistan","1990","11731",""
"Albania","2012","3162",""
"Albania","2011","3154",""
"Albania","2010","3150",""
"Albania","2009","3151",""
"Albania","2008","3157",""
"Albania","2007","3166",""
"Albania","2006","3180",""
"Albania","2005","3196",""
"Albania","2004","3216",""
"Albania","2003","3239",""
"Albania","2002","3264",""
"Albania","2001","3286",""
"Albania","2000","3305",""
"Albania","1999","3318",""
"Albania","1998","3325",""
"Albania","1997","3331",""
"Albania","1996","3341",""
"Albania","1995","3358",""
"Albania","1994","3384",""
"Albania","1993","3417",""
"Albania","1992","3447",""
"Albania","1991","3460",""
"Albania","1990","3447",""
"Algeria","2012","38482",""
"Algeria","2011","37763",""
"Algeria","2010","37063",""
"Algeria","2009","36383",""
"Algeria","2008","35725",""
"Algeria","2007","35097",""
"Algeria","2006","34507",""
"Algeria","2005","33961",""
"Algeria","2004","33461",""
"Algeria","2003","33003",""
"Algeria","2002","32573",""
"Algeria","2001","32150",""
"Algeria","2000","31719",""
"Algeria","1999","31276",""
"Algeria","1998","30820",""
"Algeria","1997","30345",""
"Algeria","1996","29845",""
"Algeria","1995","29315",""
"Algeria","1994","28753",""
"Algeria","1993","28158",""
"Algeria","1992","27535",""
"Algeria","1991","26894",""
"Algeria","1990","26240",""
"Andorra","2012","78",""
"Andorra","2011","78",""
"Andorra","2010","78",""
"Andorra","2009","79",""
"Andorra","2008","80",""
"Andorra","2007","81",""
"Andorra","2006","82",""
"Andorra","2005","81",""
"Andorra","2004","79",""
"Andorra","2003","76",""
"Andorra","2002","72",""
"Andorra","2001","68",""
"Andorra","2000","65",""
"Andorra","1999","64",""
"Andorra","1998","64",""
"Andorra","1997","64",""
"Andorra","1996","64",""
"Andorra","1995","64",""
"Andorra","1994","63",""
"Andorra","1993","61",""
"Andorra","1992","59",""
"Andorra","1991","57",""
"Andorra","1990","55",""
"Angola","2012","20821",""
"Angola","2011","20180",""
"Angola","2010","19549",""
"Angola","2009","18927",""
"Angola","2008","18314",""
"Angola","2007","17713",""
"Angola","2006","17122",""
"Angola","2005","16544",""
"Angola","2004","15977",""
"Angola","2003","15421",""
"Angola","2002","14887",""
"Angola","2001","14385",""
"Angola","2000","13925",""
"Angola","1999","13511",""
"Angola","1998","13138",""
"Angola","1997","12791",""
"Angola","1996","12452",""
"Angola","1995","12105",""
"Angola","1994","11743",""
"Angola","1993","11372",""
"Angola","1992","11003",""
"Angola","1991","10653",""
"Angola","1990","10334",""
"Antigua and Barbuda","2012","89",""
"Antigua and Barbuda","2011","88",""
"Antigua and Barbuda","2010","87",""
"Antigua and Barbuda","2009","86",""
"Antigua and Barbuda","2008","85",""
"Antigua and Barbuda","2007","84",""
"Antigua and Barbuda","2006","83",""
"Antigua and Barbuda","2005","83",""
"Antigua and Barbuda","2004","82",""
