"Country or Area","Year","Commodity","Flow","Trade (USD)","Weight (kg)","Quantity Name","Quantity"
"Slovenia","2022","Coffee; not roasted or decaffeinated","Export","22735410.534","6405340.84","Weight in kilograms","6405340.84"
"Slovenia","2022","Coffee; not roasted or decaffeinated","Import","60803460.93","16917387.224","Weight in kilograms","16917387.224"
"Slovenia","2022","Coffee; decaffeinated, not roasted","Import","397040.05","53253.31","Weight in kilograms","53253.31"
"Slovenia","2022","Coffee; decaffeinated, not roasted","Export","259842.369","57848.68","Weight in kilograms","57848.68"
"Slovenia","2022","Coffee; roasted, not decaffeinated","Import","34088705.59","5079868.47","Weight in kilograms","5079868.47"
"Slovenia","2022","Coffee; roasted, not decaffeinated","Export","30624657.823","4283272.01","Weight in kilograms","4283272.01"
"Slovenia","2022","Coffee; roasted, decaffeinated","Export","312711.991","36347.32","Weight in kilograms","36347.32"
"Slovenia","2022","Coffee; roasted, decaffeinated","Import","880150.72","101209.22","Weight in kilograms","101209.22"
"Slovenia","2022","Coffee; husks and skins, coffee substitutes containing coffee in any proportion","Import","2387945.32","720398.35","Weight in kilograms","720398.35"
"Slovenia","2022","Coffee; husks and skins, coffee substitutes containing coffee in any proportion","Export","1074235.403","251068.42","Weight in kilograms","251068.42"
"Slovenia","2022","Tea, green; (not fermented), in immediate packings of a content not exceeding 3kg","Export","449100.607","15396.88","Weight in kilograms","15396.88"
"Slovenia","2022","Tea, green; (not fermented), in immediate packings of a content not exceeding 3kg","Import","810488.17","41952.2","Weight in kilograms","41952.2"
"Slovenia","2022","Tea, green; (not fermented), in immediate packings of a content exceeding 3kg","Import","297897.11","32082.717","Weight in kilograms","32082.717"
"Slovenia","2022","Tea, green; (not fermented), in immediate packings of a content exceeding 3kg","Export","18086.818","3145.61","Weight in kilograms","3145.61"
"Slovenia","2022","Tea, black; (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3kg","Export","49674.186","2935.55","Weight in kilograms","2935.55"
"Slovenia","2022","Tea, black; (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3kg","Import","518522.37","29503.34","Weight in kilograms","29503.34"
"Slovenia","2022","Tea, black; (fermented) and partly fermented tea, in immediate packings of a content exceeding 3kg","Export","604.876","20.99","Weight in kilograms","20.99"
"Slovenia","2022","Tea, black; (fermented) and partly fermented tea, in immediate packings of a content exceeding 3kg","Import","128514.96","15461.24","Weight in kilograms","15461.24"
"Slovenia","2022","Mate","Import","12380.64","680.39","Weight in kilograms","680.39"
"Slovenia","2022","Mate","Export","609.659","67.1","Weight in kilograms","67.1"
