"Country or Area","Year","Commodity","Flow","Trade (USD)","Weight (kg)","Quantity Name","Quantity"
"Albania","2022","Coffee; not roasted or decaffeinated","Import","1997372.633","529864.86","Weight in kilograms","529864.86"
"Albania","2022","Coffee; decaffeinated, not roasted","Import","16226.205","3587.4","Weight in kilograms","3587.4"
"Albania","2022","Coffee; roasted, not decaffeinated","Export","74410.94","8929.46","Weight in kilograms","8929.46"
"Albania","2022","Coffee; roasted, not decaffeinated","Import","613132.035","85900.95","Weight in kilograms","85900.95"
"Albania","2022","Coffee; roasted, decaffeinated","Export","950.825","47.92","Weight in kilograms","47.92"
"Albania","2022","Tea, green; (not fermented), in immediate packings of a content not exceeding 3kg","Import","6839.163","311.83","Weight in kilograms","311.83"
"Albania","2022","Tea, black; (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3kg","Import","4115.227","152.39","Weight in kilograms","152.39"
"Albania","2022","Spices; pepper (of the genus piper), neither crushed nor ground","Import","16298.26","3094","Weight in kilograms","3094"
"Albania","2022","Spices; fruits of the genus Capsicum or Pimenta, crushed or ground","Import","34784.152","7405.9","Weight in kilograms","7405.9"
"Albania","2022","Spices; cinnamon and cinnamon-tree flowers, crushed or ground","Import","11722.317","2460","Weight in kilograms","2460"
"Albania","2022","Spices; ginger, neither crushed nor ground","Import","2990.061","659.82","Weight in kilograms","659.82"
"Albania","2022","Spices; n.e.c. in heading no. 0910","Import","24376.712","5272.13","Weight in kilograms","5272.13"
"Albania","2020","Coffee; not roasted or decaffeinated","Import","12231573.953","5352067.6","Weight in kilograms","5352067.6"
"Albania","2020","Coffee; roasted, not decaffeinated","Import","18238918.774","2397535.06","Weight in kilograms","2397535.06"
"Albania","2020","Coffee; roasted, not decaffeinated","Export","1188780.387","143520.94","Weight in kilograms","143520.94"
"Albania","2020","Coffee; roasted, decaffeinated","Import","243651.532","17496.88","Weight in kilograms","17496.88"
"Albania","2020","Tea, green; (not fermented), in immediate packings of a content not exceeding 3kg","Import","77458.867","3384.606","Weight in kilograms","3384.606"
"Albania","2020","Tea, green; (not fermented), in immediate packings of a content not exceeding 3kg","Export","45405.651","3863.8","Weight in kilograms","3863.8"
"Albania","2020","Tea, green; (not fermented), in immediate packings of a content exceeding 3kg","Import","61078.914","12435.29","Weight in kilograms","12435.29"
"Albania","2020","Tea, black; (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3kg","Import","30316.539","5137.261","Weight in kilograms","5137.261"
"Albania","2020","Tea, black; (fermented) and partly fermented tea, in immediate packings of a content exceeding 3kg","Import","53726.944","8543.88","Weight in kilograms","8543.88"
"Albania","2020","Spices; pepper (of the genus piper), neither crushed nor ground","Import","255427.073","50410.43","Weight in kilograms","50410.43"
"Albania","2020","Spices; pepper (of the genus piper), crushed or ground","Import","21931.765","4263.67","Weight in kilograms","4263.67"
"Albania","2020","Spices; fruits of the genus Capsicum or Pimenta, crushed or ground","Import","45923.064","12594.99","Weight in kilograms","12594.99"
"Albania","2020","Spices; vanilla, crushed or ground","Import","2920.044","327.07","Weight in kilograms","327.07"
"Albania","2020","Spices; cinnamon (Cinnamomum zeylanicum Blume), neither crushed nor ground","Import","32989.11","5604.5","Weight in kilograms","5604.5"
"Albania","2020","Spices; cinnamon and cinnamon-tree flowers, other than cinnamon (Cinnamomum zeylanicum Blume), neither crushed nor ground","Import","35624.083","7098","Weight in kilograms","7098"
"Albania","2020","Spices; cinnamon and cinnamon-tree flowers, crushed or ground","Import","56438.439","13219.84","Weight in kilograms","13219.84"
"Albania","2020","Spices; cloves (whole fruit, cloves and stems), neither crushed nor ground","Import","36330.231","3044","Weight in kilograms","3044"
"Albania","2020","Spices; nutmeg, neither crushed nor ground","Import","6629.918","760","Weight in kilograms","760"
"Albania","2020","Spices; nutmeg, crushed or ground","Import","2382.879","191.5","Weight in kilograms","191.5"
"Albania","2020","Spices; seeds of anise, badian, caraway or fennel; juniper berries, crushed or ground","Import","6279.057","229.417","Weight in kilograms","229.417"
"Albania","2020","Spices; ginger, neither crushed nor ground","Import","455786.219","140982.23","Weight in kilograms","140982.23"
"Albania","2020","Spices; ginger, crushed or ground","Import","5946.485","1309.14","Weight in kilograms","1309.14"
"Albania","2020","Spices; saffron","Import","7721.265","67.761","Weight in kilograms","67.761"
"Albania","2020","Spices; turmeric (curcuma)","Import","106674.017","28077.8","Weight in kilograms","28077.8"
"Albania","2020","Spices; mixtures of 2 or more products of different headings","Import","68064.717","13350.576","Weight in kilograms","13350.576"
"Albania","2020","Spices; n.e.c. in heading no. 0910","Import","29869.392","3774.118","Weight in kilograms","3774.118"
"Andorra","2022","Coffee; not roasted or decaffeinated","Import","443719.163","82724.26","Weight in kilograms","82724.26"
"Andorra","2022","Coffee; decaffeinated, not roasted","Import","34686.361","6130.27","Weight in kilograms","6130.27"
"Andorra","2022","Coffee; roasted, not decaffeinated","Export","1843.907","227.08","Weight in kilograms","227.08"
"Andorra","2022","Coffee; roasted, not decaffeinated","Import","4757311.205","430365.45","Weight in kilograms","430365.45"
"Andorra","2022","Coffee; roasted, decaffeinated","Export","42.065","11.36","Weight in kilograms","11.36"
"Andorra","2022","Coffee; roasted, decaffeinated","Import","503276.833","44865.76","Weight in kilograms","44865.76"
"Andorra","2022","Coffee; husks and skins, coffee substitutes containing coffee in any proportion","Import","13408.859","4405.8","Weight in kilograms","4405.8"
"Andorra","2022","Tea, green; (not fermented), in immediate packings of a content not exceeding 3kg","Import","379652.366","44543.68","Weight in kilograms","44543.68"
"Andorra","2022","Tea, green; (not fermented), in immediate packings of a content exceeding 3kg","Import","28464.536","1168.6","Weight in kilograms","1168.6"
"Andorra","2022","Tea, black; (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3kg","Import","22538.588","1096.59","Weight in kilograms","1096.59"
"Andorra","2022","Tea, black; (fermented) and partly fermented tea, in immediate packings of a content exceeding 3kg","Import","2634.064","116.3","Weight in kilograms","116.3"
"Andorra","2022","Mate","Import","35301.463","7352.8","Weight in kilograms","7352.8"
"Andorra","2022","Spices; pepper (of the genus piper), neither crushed nor ground","Import","4560.51","293.4","Weight in kilograms","293.4"
"Andorra","2022","Spices; pepper (of the genus piper), crushed or ground","Import","4422.275","481.19","Weight in kilograms","481.19"
"Andorra","2022","Spices; fruits of the genus Capsicum or Pimenta, dried, neither crushed nor ground","Import","2055.282","224.66","Weight in kilograms","224.66"
"Andorra","2022","Spices; fruits of the genus Capsicum or Pimenta, crushed or ground","Import","4962.491","641.92","Weight in kilograms","641.92"
"Andorra","2022","Spices; vanilla, neither crushed nor ground","Import","3094.986","47.26","Weight in kilograms","47.26"
"Andorra","2022","Spices; vanilla, crushed or ground","Import","1426.909","29.63","Weight in kilograms","29.63"
"Andorra","2022","Spices; cinnamon (Cinnamomum zeylanicum Blume), neither crushed nor ground","Import","114.437","8","Weight in kilograms","8"
"Andorra","2022","Spices; cinnamon and cinnamon-tree flowers, other than cinnamon (Cinnamomum zeylanicum Blume), neither crushed nor ground","Import","217.369","23.03","Weight in kilograms","23.03"
"Andorra","2022","Spices; cinnamon and cinnamon-tree flowers, crushed or ground","Import","397.322","41.31","Weight in kilograms","41.31"
"Andorra","2022","Spices; nutmeg, neither crushed nor ground","Import","37.227","2","Weight in kilograms","2"
"Andorra","2022","Spices; nutmeg, crushed or ground","Import","250.737","17.84","Weight in kilograms","17.84"
"Andorra","2022","Spices; mace, crushed or ground","Import","65.295","4","Weight in kilograms","4"
"Andorra","2022","Spices; cumin seeds, neither crushed nor ground","Import","106.55","23","Weight in kilograms","23"
"Andorra","2022","Spices; cumin seeds, crushed or ground","Import","130.621","11","Weight in kilograms","11"
"Andorra","2022","Spices; seeds of anise, badian, caraway or fennel; juniper berries, neither crushed nor ground","Import","2312.519","544.84","Weight in kilograms","544.84"
"Andorra","2022","Spices; seeds of anise, badian, caraway or fennel; juniper berries, crushed or ground","Import","133.293","30","Weight in kilograms","30"
"Andorra","2022","Spices; ginger, neither crushed nor ground","Import","881.918","240.78","Weight in kilograms","240.78"
"Andorra","2022","Spices; ginger, crushed or ground","Import","754.42","11.6","Weight in kilograms","11.6"
"Andorra","2022","Spices; saffron","Import","7518.733","29.63","Weight in kilograms","29.63"
"Andorra","2022","Spices; turmeric (curcuma)","Import","297.292","20.84","Weight in kilograms","20.84"
"Andorra","2022","Spices; mixtures of 2 or more products of different headings","Import","940.988","95.04","Weight in kilograms","95.04"
"Andorra","2022","Spices; n.e.c. in heading no. 0910","Import","659188.367","98874.59","Weight in kilograms","98874.59"
"Andorra","2020","Coffee; not roasted or decaffeinated","Import","170533.788","54415.59","Weight in kilograms","54415.59"
