"Country or Area","Year","Commodity","Flow","Trade (USD)","Weight (kg)","Quantity Name","Quantity"
"Zimbabwe","2022","Coffee; not roasted or decaffeinated","Import","2858.64","8019","Weight in kilograms","8019"
"Zimbabwe","2022","Coffee; not roasted or decaffeinated","Export","364890.46","75600","Weight in kilograms","75600"
"Zimbabwe","2022","Coffee; roasted, not decaffeinated","Export","135.98","2","Weight in kilograms","2"
"Zimbabwe","2022","Coffee; roasted, not decaffeinated","Import","41558.03","6478.44","Weight in kilograms","6478.44"
"Zimbabwe","2022","Coffee; roasted, decaffeinated","Import","24235.13","21482.1","Weight in kilograms","21482.1"
"Zimbabwe","2022","Coffee; husks and skins, coffee substitutes containing coffee in any proportion","Import","16892.62","1384.55","Weight in kilograms","1384.55"
"Zimbabwe","2022","Coffee; husks and skins, coffee substitutes containing coffee in any proportion","Export","271710.51","43850","Weight in kilograms","43850"
"Zimbabwe","2022","Tea, green; (not fermented), in immediate packings of a content not exceeding 3kg","Import","2512.55","605.8","Weight in kilograms","605.8"
"Zimbabwe","2022","Tea, green; (not fermented), in immediate packings of a content exceeding 3kg","Import","56269.65","16002.5","Weight in kilograms","16002.5"
"Zimbabwe","2022","Tea, black; (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3kg","Import","432256.32","81094.1","Weight in kilograms","81094.1"
"Zimbabwe","2022","Tea, black; (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3kg","Export","674636.31","187410.15","Weight in kilograms","187410.15"
"Zimbabwe","2022","Tea, black; (fermented) and partly fermented tea, in immediate packings of a content exceeding 3kg","Export","17575083.08","12445546.5","Weight in kilograms","12445546.5"
"Zimbabwe","2022","Tea, black; (fermented) and partly fermented tea, in immediate packings of a content exceeding 3kg","Import","336499.13","177134.19","Weight in kilograms","177134.19"
"Zimbabwe","2022","Mate","Import","168.09","6","Weight in kilograms","6"
"Zimbabwe","2022","Spices; pepper (of the genus piper), neither crushed nor ground","Export","286082.15","338918","Weight in kilograms","338918"
"Zimbabwe","2022","Spices; pepper (of the genus piper), neither crushed nor ground","Import","109855.66","13647","Weight in kilograms","13647"
"Zimbabwe","2022","Spices; pepper (of the genus piper), crushed or ground","Import","163267.51","","No Quantity",""
"Zimbabwe","2022","Spices; pepper (of the genus piper), crushed or ground","Export","554454.53","353687.2","Weight in kilograms","353687.2"
"Zimbabwe","2022","Spices; fruits of the genus Capsicum or Pimenta, dried, neither crushed nor ground","Export","3429307.37","974090.6","Weight in kilograms","974090.6"
"Zimbabwe","2022","Spices; fruits of the genus Capsicum or Pimenta, crushed or ground","Import","33790.19","8600","Weight in kilograms","8600"
"Zimbabwe","2022","Spices; fruits of the genus Capsicum or Pimenta, crushed or ground","Export","27.9","5.7","Weight in kilograms","5.7"
"Zimbabwe","2022","Spices; cinnamon (Cinnamomum zeylanicum Blume), neither crushed nor ground","Import","34.11","25","Weight in kilograms","25"
"Zimbabwe","2022","Spices; cinnamon and cinnamon-tree flowers, crushed or ground","Import","20310.1","7908.47","Weight in kilograms","7908.47"
"Zimbabwe","2022","Spices; cloves (whole fruit, cloves and stems), neither crushed nor ground","Import","11935.29","4220","Weight in kilograms","4220"
