"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Afghanistan","Female 15+ yr","2006","ILO_KILM Database 5ed_2007","Percent","29.4",""
"Afghanistan","Female 15+ yr","2005","ILO_KILM Database 5ed_2007","Percent","29.0",""
"Afghanistan","Female 15+ yr","2004","ILO_KILM Database 5ed_2007","Percent","28.8",""
"Afghanistan","Female 15+ yr","2003","ILO_KILM Database 5ed_2007","Percent","28.8",""
"Afghanistan","Female 15+ yr","2002","ILO_KILM Database 5ed_2007","Percent","28.6",""
"Afghanistan","Female 15+ yr","2001","ILO_KILM Database 5ed_2007","Percent","28.4",""
"Afghanistan","Female 15+ yr","2000","ILO_KILM Database 5ed_2007","Percent","28.2",""
"Afghanistan","Female 15+ yr","1999","ILO_KILM Database 5ed_2007","Percent","28.2",""
"Afghanistan","Female 15+ yr","1998","ILO_KILM Database 5ed_2007","Percent","28.2",""
"Afghanistan","Female 15+ yr","1997","ILO_KILM Database 5ed_2007","Percent","28.1",""
"Afghanistan","Female 15+ yr","1996","ILO_KILM Database 5ed_2007","Percent","28.1",""
"Afghanistan","Female 15+ yr","1995","ILO_KILM Database 5ed_2007","Percent","28.0",""
"Afghanistan","Female 15+ yr","1994","ILO_KILM Database 5ed_2007","Percent","28.1",""
"Afghanistan","Female 15+ yr","1993","ILO_KILM Database 5ed_2007","Percent","28.1",""
"Afghanistan","Female 15+ yr","1992","ILO_KILM Database 5ed_2007","Percent","28.2",""
"Afghanistan","Female 15+ yr","1991","ILO_KILM Database 5ed_2007","Percent","28.2",""
"Afghanistan","Female 15+ yr","1990","ILO_KILM Database 5ed_2007","Percent","28.2",""
"Afghanistan","Female 15+ yr","1989","ILO_KILM Database 5ed_2007","Percent","28.2",""
"Afghanistan","Female 15+ yr","1988","ILO_KILM Database 5ed_2007","Percent","28.2",""
"Afghanistan","Female 15+ yr","1987","ILO_KILM Database 5ed_2007","Percent","28.2",""
"Afghanistan","Female 15+ yr","1986","ILO_KILM Database 5ed_2007","Percent","28.3",""
"Afghanistan","Female 15+ yr","1985","ILO_KILM Database 5ed_2007","Percent","28.3",""
"Albania","Female 15+ yr","2006","ILO_KILM Database 5ed_2007","Percent","42.0",""
"Albania","Female 15+ yr","2005","ILO_KILM Database 5ed_2007","Percent","42.0",""
"Albania","Female 15+ yr","2004","ILO_KILM Database 5ed_2007","Percent","42.0",""
"Albania","Female 15+ yr","2003","ILO_KILM Database 5ed_2007","Percent","42.0",""
"Albania","Female 15+ yr","2002","ILO_KILM Database 5ed_2007","Percent","42.0","1"
"Albania","Female 15+ yr","2001","ILO_KILM Database 5ed_2007","Percent","41.9",""
"Albania","Female 15+ yr","2000","ILO_KILM Database 5ed_2007","Percent","41.8",""
"Albania","Female 15+ yr","1999","ILO_KILM Database 5ed_2007","Percent","41.7",""
"Albania","Female 15+ yr","1998","ILO_KILM Database 5ed_2007","Percent","41.5",""
"Albania","Female 15+ yr","1997","ILO_KILM Database 5ed_2007","Percent","41.3",""
"Albania","Female 15+ yr","1996","ILO_KILM Database 5ed_2007","Percent","41.1",""
"Albania","Female 15+ yr","1995","ILO_KILM Database 5ed_2007","Percent","40.9",""
"Albania","Female 15+ yr","1994","ILO_KILM Database 5ed_2007","Percent","40.7",""
"Albania","Female 15+ yr","1993","ILO_KILM Database 5ed_2007","Percent","40.5",""
"Albania","Female 15+ yr","1992","ILO_KILM Database 5ed_2007","Percent","40.4",""
"Albania","Female 15+ yr","1991","ILO_KILM Database 5ed_2007","Percent","40.3",""
"Albania","Female 15+ yr","1990","ILO_KILM Database 5ed_2007","Percent","40.2","1"
"Albania","Female 15+ yr","1989","ILO_KILM Database 5ed_2007","Percent","40.1",""
"Albania","Female 15+ yr","1988","ILO_KILM Database 5ed_2007","Percent","39.9",""
"Albania","Female 15+ yr","1987","ILO_KILM Database 5ed_2007","Percent","39.7",""
"Albania","Female 15+ yr","1986","ILO_KILM Database 5ed_2007","Percent","39.6",""
"Albania","Female 15+ yr","1985","ILO_KILM Database 5ed_2007","Percent","39.4",""
"Algeria","Female 15+ yr","2006","ILO_KILM Database 5ed_2007","Percent","31.1",""
"Algeria","Female 15+ yr","2005","ILO_KILM Database 5ed_2007","Percent","30.6",""
"Algeria","Female 15+ yr","2004","ILO_KILM Database 5ed_2007","Percent","30.1",""
"Algeria","Female 15+ yr","2003","ILO_KILM Database 5ed_2007","Percent","29.5",""
"Algeria","Female 15+ yr","2002","ILO_KILM Database 5ed_2007","Percent","29.0",""
"Algeria","Female 15+ yr","2001","ILO_KILM Database 5ed_2007","Percent","28.5",""
"Algeria","Female 15+ yr","2000","ILO_KILM Database 5ed_2007","Percent","28.0",""
"Algeria","Female 15+ yr","1999","ILO_KILM Database 5ed_2007","Percent","27.3",""
"Algeria","Female 15+ yr","1998","ILO_KILM Database 5ed_2007","Percent","26.7",""
"Algeria","Female 15+ yr","1997","ILO_KILM Database 5ed_2007","Percent","26.1",""
"Algeria","Female 15+ yr","1996","ILO_KILM Database 5ed_2007","Percent","25.4","1"
"Algeria","Female 15+ yr","1995","ILO_KILM Database 5ed_2007","Percent","24.9",""
"Algeria","Female 15+ yr","1994","ILO_KILM Database 5ed_2007","Percent","24.5",""
"Algeria","Female 15+ yr","1993","ILO_KILM Database 5ed_2007","Percent","24.0",""
"Algeria","Female 15+ yr","1992","ILO_KILM Database 5ed_2007","Percent","23.5",""
"Algeria","Female 15+ yr","1991","ILO_KILM Database 5ed_2007","Percent","23.1",""
"Algeria","Female 15+ yr","1990","ILO_KILM Database 5ed_2007","Percent","22.6",""
"Algeria","Female 15+ yr","1989","ILO_KILM Database 5ed_2007","Percent","22.2",""
"Algeria","Female 15+ yr","1988","ILO_KILM Database 5ed_2007","Percent","21.7",""
"Algeria","Female 15+ yr","1987","ILO_KILM Database 5ed_2007","Percent","21.3",""
"Algeria","Female 15+ yr","1986","ILO_KILM Database 5ed_2007","Percent","20.9",""
